FactorRank,Team,EFG,OPPEFG,TOVPCT,OPPTOV,ORB,DRB,OPPORB,OPPDRB,FTR,OPPFTR,EFGTOTAL,TOVTOTAL,REBSUM,OPPREBSUM,REBTOTAL,FTRTOTAL,Dec,FourFactors
283,Sam Hous St,47.10%,50.70%,18.00%,23.90%,21.50%,71.00%,29.00%,78.50%,0.311,0.467,-0.0144,-0.01475,92.50%,107.50%,-0.03,-0.0234,-0.05305,-5.305
284,Coppin State,44.60%,47.90%,17.50%,19.70%,20.60%,70.10%,29.90%,79.40%,0.287,0.343,-0.0132,-0.0055,90.70%,109.30%,-0.0372,-0.0084,-0.0533,-5.33
285,LIU,53.90%,50.90%,17.30%,13.20%,14.60%,69.60%,30.40%,85.40%,0.34,0.288,0.012,0.01025,84.20%,115.80%,-0.0632,0.0078,-0.05365,-5.365
286,Norfolk St,43.60%,50.90%,23.70%,18.90%,28.50%,71.30%,28.70%,71.50%,0.304,0.382,-0.0292,0.012,99.80%,100.20%,-0.0008,-0.0117,-0.0537,-5.37
287,NC A&T,41.60%,49.90%,23.90%,21.80%,26.50%,71.00%,29.00%,73.50%,0.378,0.416,-0.0332,0.00525,97.50%,102.50%,-0.01,-0.0057,-0.05415,-5.415
288,Troy,42.60%,54.30%,18.40%,22.60%,31.10%,67.00%,33.00%,68.90%,0.293,0.37,-0.0468,-0.0105,98.10%,101.90%,-0.0076,-0.01155,-0.05545,-5.545
289,St Fran (NY),46.80%,51.10%,20.20%,18.20%,26.50%,70.90%,29.10%,73.50%,0.272,0.428,-0.0172,0.005,97.40%,102.60%,-0.0104,-0.0234,-0.056,-5.6
290,Denver,47.10%,53.00%,21.30%,19.50%,16.80%,74.50%,25.50%,83.20%,0.34,0.304,-0.0236,0.0045,91.30%,108.70%,-0.0348,0.0054,-0.0575,-5.75
291,IL-Chicago,48.30%,49.90%,23.20%,17.20%,21.00%,70.30%,29.70%,79.00%,0.302,0.314,-0.0064,0.015,91.30%,108.70%,-0.0348,-0.0018,-0.058,-5.8
292,Monmouth,47.00%,48.60%,20.10%,21.30%,20.50%,70.30%,29.70%,79.50%,0.288,0.407,-0.0064,-0.003,90.80%,109.20%,-0.0368,-0.01785,-0.05805,-5.805
293,NC-Wilmgton,43.80%,51.10%,20.90%,15.40%,19.20%,75.80%,24.20%,80.80%,0.276,0.244,-0.0292,0.01375,95.00%,105.00%,-0.02,0.0048,-0.05815,-5.815
294,Lg Beach St,48.90%,55.10%,22.60%,21.70%,24.30%,66.70%,33.30%,75.70%,0.305,0.274,-0.0248,0.00225,91.00%,109.00%,-0.036,0.00465,-0.0584,-5.84
295,Grambling St,47.80%,52.70%,20.10%,20.30%,24.40%,68.40%,31.60%,75.60%,0.352,0.423,-0.0196,-0.0005,92.80%,107.20%,-0.0288,-0.01065,-0.05855,-5.855
296,Longwood,46.10%,51.90%,16.90%,18.90%,20.30%,72.10%,27.90%,79.70%,0.281,0.348,-0.0232,-0.005,92.40%,107.60%,-0.0304,-0.01005,-0.05865,-5.865
297,Rob Morris,45.60%,52.70%,18.80%,20.10%,25.30%,72.30%,27.70%,74.70%,0.204,0.378,-0.0284,-0.00325,97.60%,102.40%,-0.0096,-0.0261,-0.06085,-6.085
298,NC-Asheville,54.40%,61.00%,20.10%,25.30%,26.80%,66.40%,33.60%,73.20%,0.336,0.474,-0.0264,-0.013,93.20%,106.80%,-0.0272,-0.0207,-0.0613,-6.13
299,W Illinois,50.30%,55.60%,13.90%,16.60%,20.30%,71.80%,28.20%,79.70%,0.234,0.339,-0.0212,-0.00675,92.10%,107.90%,-0.0316,-0.01575,-0.0618,-6.18
300,UMKC,47.00%,51.90%,20.10%,20.80%,19.40%,76.10%,23.90%,80.60%,0.279,0.456,-0.0196,-0.00175,95.50%,104.50%,-0.018,-0.02655,-0.0624,-6.24
301,TX-Pan Am,42.70%,47.40%,18.10%,22.60%,20.80%,72.10%,27.90%,79.20%,0.291,0.471,-0.0188,-0.01125,92.90%,107.10%,-0.0284,-0.027,-0.06295,-6.295
302,Wyoming,47.30%,48.00%,20.40%,18.30%,9.90%,75.70%,24.30%,90.10%,0.293,0.287,-0.0028,0.00525,85.60%,114.40%,-0.0576,0.0009,-0.06475,-6.475
303,WI-Grn Bay,51.80%,58.50%,16.40%,19.00%,19.50%,70.50%,29.50%,80.50%,0.246,0.276,-0.0268,-0.0065,90.00%,110.00%,-0.04,-0.0045,-0.0648,-6.48
304,Citadel,52.10%,55.80%,19.90%,18.00%,21.80%,66.90%,33.10%,78.20%,0.3,0.304,-0.0148,0.00475,88.70%,111.30%,-0.0452,-0.0006,-0.06535,-6.535
305,Wagner,44.60%,58.10%,20.30%,15.60%,25.50%,73.30%,26.70%,74.50%,0.467,0.435,-0.054,0.01175,98.80%,101.20%,-0.0048,0.0048,-0.06575,-6.575
306,St Josephs,44.90%,52.90%,17.50%,15.30%,25.30%,69.90%,30.10%,74.70%,0.283,0.345,-0.032,0.0055,95.20%,104.80%,-0.0192,-0.0093,-0.066,-6.6
307,Presbyterian,46.30%,52.10%,21.10%,16.90%,24.50%,70.30%,29.70%,75.50%,0.217,0.294,-0.0232,0.0105,94.80%,105.20%,-0.0208,-0.01155,-0.06605,-6.605
308,Fla Gulf Cst,42.10%,48.30%,25.10%,19.30%,26.50%,69.10%,30.90%,73.50%,0.274,0.337,-0.0248,0.0145,95.60%,104.40%,-0.0176,-0.00945,-0.06635,-6.635
309,Lehigh,49.70%,52.00%,21.90%,16.80%,20.20%,73.30%,26.70%,79.80%,0.182,0.308,-0.0092,0.01275,93.50%,106.50%,-0.026,-0.0189,-0.06685,-6.685
310,Beth-Cook,43.80%,51.40%,19.00%,21.30%,24.20%,70.60%,29.40%,75.80%,0.256,0.405,-0.0304,-0.00575,94.80%,105.20%,-0.0208,-0.02235,-0.0678,-6.78
311,IUPUI,46.40%,56.10%,21.00%,17.60%,26.60%,69.70%,30.30%,73.40%,0.279,0.319,-0.0388,0.0085,96.30%,103.70%,-0.0148,-0.006,-0.0681,-6.81
312,Cleveland St,40.30%,49.30%,23.80%,19.00%,26.40%,69.00%,31.00%,73.60%,0.389,0.405,-0.036,0.012,95.40%,104.60%,-0.0184,-0.0024,-0.0688,-6.88
313,TX Southern,42.00%,50.00%,23.00%,17.50%,24.50%,67.70%,32.30%,75.50%,0.342,0.323,-0.032,0.01375,92.20%,107.80%,-0.0312,0.00285,-0.0741,-7.41
314,Detroit,43.00%,56.60%,19.90%,17.70%,23.40%,72.30%,27.70%,76.60%,0.311,0.294,-0.0544,0.0055,95.70%,104.30%,-0.0172,0.00255,-0.07455,-7.455
315,TN Martin,50.90%,64.00%,14.90%,16.10%,27.80%,66.80%,33.20%,72.20%,0.258,0.285,-0.0524,-0.003,94.60%,105.40%,-0.0216,-0.00405,-0.07505,-7.505
316,Middle Tenn,46.40%,56.50%,21.30%,18.90%,23.10%,72.30%,27.70%,76.90%,0.269,0.342,-0.0404,0.006,95.40%,104.60%,-0.0184,-0.01095,-0.07575,-7.575
317,Hampton,47.80%,54.00%,18.00%,17.00%,25.30%,64.90%,35.10%,74.70%,0.341,0.411,-0.0248,0.0025,90.20%,109.80%,-0.0392,-0.0105,-0.077,-7.7
318,Cal St Nrdge,48.80%,56.20%,18.50%,16.60%,23.20%,66.50%,33.50%,76.80%,0.267,0.289,-0.0296,0.00475,89.70%,110.30%,-0.0412,-0.0033,-0.07885,-7.885
319,Hartford,48.00%,48.10%,21.10%,18.60%,16.40%,68.10%,31.90%,83.60%,0.271,0.348,-0.0004,0.00625,84.50%,115.50%,-0.062,-0.01155,-0.0802,-8.02
320,TN Tech,43.20%,51.90%,25.70%,19.40%,25.70%,71.20%,28.80%,74.30%,0.154,0.275,-0.0348,0.01575,96.90%,103.10%,-0.0124,-0.01815,-0.0811,-8.11
321,Niagara,48.40%,54.50%,18.70%,20.50%,17.10%,67.40%,32.60%,82.90%,0.242,0.244,-0.0244,-0.0045,84.50%,115.50%,-0.062,-0.0003,-0.0822,-8.22
322,NC Central,44.90%,54.00%,25.20%,22.40%,24.80%,66.90%,33.10%,75.20%,0.294,0.337,-0.0364,0.007,91.70%,108.30%,-0.0332,-0.00645,-0.08305,-8.305
323,F Dickinson,46.60%,55.20%,19.20%,17.20%,24.50%,65.50%,34.50%,75.50%,0.276,0.306,-0.0344,0.005,90.00%,110.00%,-0.04,-0.0045,-0.0839,-8.39
324,Holy Cross,50.40%,55.30%,20.70%,16.30%,23.50%,68.40%,31.60%,76.50%,0.216,0.356,-0.0196,0.011,91.90%,108.10%,-0.0324,-0.021,-0.084,-8.4
325,Cal Poly,49.60%,56.70%,18.10%,15.20%,21.60%,72.70%,27.30%,78.40%,0.274,0.445,-0.0284,0.00725,94.30%,105.70%,-0.0228,-0.02565,-0.0841,-8.41
326,Southern,45.10%,55.70%,20.30%,17.50%,32.00%,71.00%,29.00%,68.00%,0.211,0.54,-0.0424,0.007,103.00%,97.00%,0.012,-0.04935,-0.08675,-8.675
327,Nicholls St,46.10%,49.90%,20.90%,26.90%,26.40%,58.60%,41.40%,73.60%,0.243,0.427,-0.0152,-0.015,85.00%,115.00%,-0.06,-0.0276,-0.0878,-8.78
328,SIU Edward,45.60%,55.10%,19.00%,19.90%,20.30%,72.90%,27.10%,79.70%,0.223,0.389,-0.038,-0.00225,93.20%,106.80%,-0.0272,-0.0249,-0.08785,-8.785
329,S Mississippi,47.90%,56.80%,21.60%,19.60%,23.70%,74.80%,25.20%,76.30%,0.158,0.434,-0.0356,0.005,98.50%,101.50%,-0.006,-0.0414,-0.088,-8.8
330,Elon,43.30%,49.80%,18.50%,16.90%,15.90%,72.80%,27.20%,84.10%,0.26,0.352,-0.026,0.004,88.70%,111.30%,-0.0452,-0.0138,-0.089,-8.9
331,E Kentucky,41.30%,52.20%,23.80%,25.00%,19.10%,72.10%,27.90%,80.90%,0.351,0.448,-0.0436,-0.003,91.20%,108.80%,-0.0352,-0.01455,-0.09035,-9.035
332,SC Upstate,42.50%,53.90%,19.40%,18.60%,18.00%,75.00%,25.00%,82.00%,0.307,0.412,-0.0456,0.002,93.00%,107.00%,-0.028,-0.01575,-0.09135,-9.135
333,Central Ark,44.80%,55.10%,24.50%,16.90%,19.80%,67.50%,32.50%,80.20%,0.443,0.32,-0.0412,0.019,87.30%,112.70%,-0.0508,0.01845,-0.09255,-9.255
334,Howard,46.20%,59.50%,18.50%,15.70%,20.40%,69.30%,30.70%,79.60%,0.337,0.307,-0.0532,0.007,89.70%,110.30%,-0.0412,0.0045,-0.0969,-9.69
335,SE Louisiana,44.50%,53.00%,21.30%,20.60%,27.30%,67.40%,32.60%,72.70%,0.217,0.491,-0.034,0.00175,94.70%,105.30%,-0.0212,-0.0411,-0.09805,-9.805
336,Merrimack,44.20%,51.20%,17.90%,23.40%,19.30%,65.30%,34.70%,80.70%,0.224,0.397,-0.028,-0.01375,84.60%,115.40%,-0.0616,-0.02595,-0.1018,-10.18
337,Alabama St,42.10%,54.10%,23.10%,20.80%,18.10%,70.00%,30.00%,81.90%,0.329,0.362,-0.048,0.00575,88.10%,111.90%,-0.0476,-0.00495,-0.1063,-10.63
338,Incar Word,41.70%,51.50%,22.40%,18.10%,22.80%,67.00%,33.00%,77.20%,0.294,0.406,-0.0392,0.01075,89.80%,110.20%,-0.0408,-0.0168,-0.10755,-10.755
339,Central Conn,41.40%,55.40%,21.80%,17.80%,17.90%,70.80%,29.20%,82.10%,0.328,0.305,-0.056,0.01,88.70%,111.30%,-0.0452,0.00345,-0.10775,-10.775
340,Alab A&M,43.50%,56.00%,17.30%,18.90%,18.80%,67.80%,32.20%,81.20%,0.209,0.285,-0.05,-0.004,86.60%,113.40%,-0.0536,-0.0114,-0.111,-11.1
341,Houston Bap,46.40%,61.00%,19.60%,16.80%,26.10%,64.70%,35.30%,73.90%,0.306,0.367,-0.0584,0.007,90.80%,109.20%,-0.0368,-0.00915,-0.11135,-11.135
342,Alcorn State,38.10%,56.30%,22.00%,21.00%,25.70%,71.00%,29.00%,74.30%,0.239,0.408,-0.0728,0.0025,96.70%,103.30%,-0.0132,-0.02535,-0.11385,-11.385
343,Charl South,38.50%,54.00%,21.30%,21.30%,25.60%,62.30%,37.70%,74.40%,0.225,0.251,-0.062,0,87.90%,112.10%,-0.0484,-0.0039,-0.1143,-11.43
344,NW State,42.90%,53.20%,20.50%,15.80%,23.50%,67.90%,32.10%,76.50%,0.221,0.436,-0.0412,0.01175,91.40%,108.60%,-0.0344,-0.03225,-0.1196,-11.96
345,Delaware St,45.80%,58.40%,19.40%,18.10%,18.50%,68.40%,31.60%,81.50%,0.336,0.436,-0.0504,0.00325,86.90%,113.10%,-0.0524,-0.015,-0.12105,-12.105
346,Chicago St,46.90%,56.40%,26.90%,17.30%,18.30%,65.80%,34.20%,81.70%,0.427,0.415,-0.038,0.024,84.10%,115.90%,-0.0636,0.0018,-0.1238,-12.38
347,Florida A&M,39.10%,52.90%,22.50%,20.30%,22.20%,62.50%,37.50%,77.80%,0.367,0.4,-0.0552,0.0055,84.70%,115.30%,-0.0612,-0.00495,-0.12685,-12.685
348,Ark Pine Bl,41.30%,51.90%,29.20%,19.20%,19.50%,70.70%,29.30%,80.50%,0.272,0.449,-0.0424,0.025,90.20%,109.80%,-0.0392,-0.02655,-0.13315,-13.315
349,Jackson St,42.80%,62.80%,17.20%,24.90%,22.70%,69.00%,31.00%,77.30%,0.229,0.5,-0.08,-0.01925,91.70%,108.30%,-0.0332,-0.04065,-0.1346,-13.46
350,Maryland ES,40.90%,56.60%,23.10%,20.40%,20.00%,67.80%,32.20%,80.00%,0.19,0.33,-0.0628,0.00675,87.80%,112.20%,-0.0488,-0.021,-0.13935,-13.935
351,New Orleans,42.00%,56.90%,17.70%,17.10%,21.80%,65.80%,34.20%,78.20%,0.217,0.415,-0.0596,0.0015,87.60%,112.40%,-0.0496,-0.0297,-0.1404,-14.04
352,S Car State,42.10%,58.40%,19.70%,18.00%,21.10%,62.30%,37.70%,78.90%,0.294,0.338,-0.0652,0.00425,83.40%,116.60%,-0.0664,-0.0066,-0.14245,-14.245
353,Miss Val St,39.70%,57.70%,19.90%,13.40%,19.00%,66.30%,33.70%,81.00%,0.172,0.326,-0.072,0.01625,85.30%,114.70%,-0.0588,-0.0231,-0.17015,-17.015
354,,,,,,,,,,,,,,,,,,,
