FactorRank,Team,EFG,OPPEFG,TOVPCT,OPPTOV,ORB,DRB,OPPORB,OPPDRB,FTR,OPPFTR,EFGTOTAL,TOVTOTAL,REBSUM,OPPREBSUM,REBTOTAL,FTRTOTAL,Dec,FourFactors
53,Ball State,53.00%,44.70%,16.70%,18.50%,27.40%,77.30%,22.70%,72.60%,0.312,0.302,0.0332,-0.0045,104.70%,95.30%,0.0188,0.0015,0.058,5.8
54,Washington,51.50%,45.90%,20.30%,20.60%,25.80%,76.70%,23.30%,74.20%,0.402,0.237,0.0224,-0.00075,102.50%,97.50%,0.01,0.02475,0.0579,5.79
55,N Carolina,44.40%,45.00%,18.00%,16.00%,34.60%,77.60%,22.40%,65.40%,0.344,0.234,-0.0024,0.005,112.20%,87.80%,0.0488,0.0165,0.0579,5.79
56,DePaul,52.30%,42.60%,17.40%,20.30%,32.00%,71.80%,28.20%,68.00%,0.313,0.336,0.0388,-0.00725,103.80%,96.20%,0.0152,-0.00345,0.0578,5.78
57,Temple,47.50%,42.50%,16.60%,20.40%,26.50%,77.40%,22.60%,73.50%,0.332,0.255,0.02,-0.0095,103.90%,96.10%,0.0156,0.01155,0.05665,5.665
58,Xavier,48.40%,43.40%,18.80%,21.80%,32.00%,73.90%,26.10%,68.00%,0.335,0.302,0.02,-0.0075,105.90%,94.10%,0.0236,0.00495,0.05605,5.605
59,Notre Dame,49.70%,45.90%,13.90%,19.80%,26.70%,75.20%,24.80%,73.30%,0.283,0.169,0.0152,-0.01475,101.90%,98.10%,0.0076,0.0171,0.05465,5.465
60,Akron,49.30%,41.20%,19.10%,18.10%,27.90%,74.90%,25.10%,72.10%,0.399,0.31,0.0324,0.0025,102.80%,97.20%,0.0112,0.01335,0.05445,5.445
61,Arkansas,49.80%,40.80%,18.40%,26.10%,21.70%,77.30%,22.70%,78.30%,0.316,0.306,0.036,-0.01925,99.00%,101.00%,-0.004,0.0015,0.05275,5.275
62,Connecticut,47.20%,43.50%,17.70%,21.70%,31.10%,73.90%,26.10%,68.90%,0.338,0.289,0.0148,-0.01,105.00%,95.00%,0.02,0.00735,0.05215,5.215
63,San Fransco,53.80%,50.70%,16.40%,17.60%,32.00%,78.00%,22.00%,68.00%,0.316,0.347,0.0124,-0.003,110.00%,90.00%,0.04,-0.00465,0.05075,5.075
64,St Marys,54.80%,50.40%,16.00%,19.50%,25.90%,78.40%,21.60%,74.10%,0.29,0.245,0.0176,-0.00875,104.30%,95.70%,0.0172,0.00675,0.0503,5.03
65,Michigan,58.10%,44.70%,17.80%,15.20%,24.50%,75.20%,24.80%,75.50%,0.259,0.233,0.0536,0.0065,99.70%,100.30%,-0.0012,0.0039,0.0498,4.98
66,Bradley,46.70%,45.00%,17.80%,21.20%,36.10%,71.90%,28.10%,63.90%,0.344,0.328,0.0068,-0.0085,108.00%,92.00%,0.032,0.0024,0.0497,4.97
67,Missouri,48.00%,43.10%,20.90%,20.90%,27.60%,79.10%,20.90%,72.40%,0.346,0.329,0.0196,0,106.70%,93.30%,0.0268,0.00255,0.04895,4.895
68,Tulsa,50.90%,43.90%,19.60%,21.10%,29.70%,71.20%,28.80%,70.30%,0.364,0.278,0.028,-0.00375,100.90%,99.10%,0.0036,0.0129,0.04825,4.825
69,Wisconsin,49.90%,48.50%,16.90%,18.20%,28.50%,78.80%,21.20%,71.50%,0.313,0.249,0.0056,-0.00325,107.30%,92.70%,0.0292,0.0096,0.04765,4.765
70,Central FL,50.40%,49.40%,18.90%,21.40%,32.80%,74.00%,26.00%,67.20%,0.293,0.23,0.004,-0.00625,106.80%,93.20%,0.0272,0.00945,0.0469,4.69
71,Kent State,51.80%,43.70%,15.70%,20.20%,29.00%,74.20%,25.80%,71.00%,0.248,0.312,0.0324,-0.01125,103.20%,96.80%,0.0128,-0.0096,0.04685,4.685
72,S Florida,48.30%,51.70%,24.30%,26.30%,32.90%,80.10%,19.90%,67.10%,0.354,0.335,-0.0136,-0.005,113.00%,87.00%,0.052,0.00285,0.04625,4.625
73,Georgetown,51.90%,48.40%,21.80%,20.20%,34.70%,71.30%,28.70%,65.30%,0.377,0.302,0.014,0.004,106.00%,94.00%,0.024,0.01125,0.04525,4.525
74,Oklahoma St,48.80%,43.00%,18.60%,22.10%,26.70%,75.40%,24.60%,73.30%,0.343,0.313,0.0232,-0.00875,102.10%,97.90%,0.0084,0.0045,0.04485,4.485
75,Providence,48.60%,47.70%,19.30%,25.00%,32.90%,76.00%,24.00%,67.10%,0.317,0.376,0.0036,-0.01425,108.90%,91.10%,0.0356,-0.00885,0.0446,4.46
76,Geo Mason,48.50%,44.80%,18.00%,17.60%,32.20%,71.90%,28.10%,67.80%,0.341,0.25,0.0148,0.001,104.10%,95.90%,0.0164,0.01365,0.04385,4.385
77,Seton Hall,53.60%,44.70%,18.10%,20.70%,30.10%,73.10%,26.90%,69.90%,0.318,0.393,0.0356,-0.0065,103.20%,96.80%,0.0128,-0.01125,0.04365,4.365
78,Missouri St,48.80%,47.30%,21.80%,18.50%,35.10%,75.20%,24.80%,64.90%,0.328,0.3,0.006,0.00825,110.30%,89.70%,0.0412,0.0042,0.04315,4.315
79,St Johns,47.50%,45.10%,16.60%,22.70%,32.60%,69.90%,30.10%,67.40%,0.35,0.3,0.0096,-0.01525,102.50%,97.50%,0.01,0.0075,0.04235,4.235
80,Fordham,45.20%,45.20%,18.70%,24.20%,28.10%,77.80%,22.20%,71.90%,0.323,0.291,0,-0.01375,105.90%,94.10%,0.0236,0.0048,0.04215,4.215
81,Navy,43.80%,47.30%,21.20%,19.90%,34.10%,76.30%,23.70%,65.90%,0.36,0.242,-0.014,0.00325,110.40%,89.60%,0.0416,0.0177,0.04205,4.205
82,Iowa State,51.80%,49.10%,14.90%,23.60%,26.40%,71.30%,28.70%,73.60%,0.32,0.198,0.0108,-0.02175,97.70%,102.30%,-0.0092,0.0183,0.04165,4.165
83,Central Mich,47.30%,53.30%,14.90%,19.60%,30.80%,75.30%,24.70%,69.20%,0.401,0.211,-0.024,-0.01175,106.10%,93.90%,0.0244,0.0285,0.04065,4.065
84,VA Tech,57.70%,48.50%,15.70%,17.80%,20.70%,77.80%,22.20%,79.30%,0.212,0.195,0.0368,-0.00525,98.50%,101.50%,-0.006,0.00255,0.0386,3.86
85,Yale,53.00%,40.90%,19.00%,15.60%,20.70%,76.80%,23.20%,79.30%,0.313,0.259,0.0484,0.0085,97.50%,102.50%,-0.01,0.0081,0.038,3.8
86,Wright State,48.90%,50.40%,15.30%,19.70%,29.20%,75.40%,24.60%,70.80%,0.311,0.215,-0.006,-0.011,104.60%,95.40%,0.0184,0.0144,0.0378,3.78
87,VCU,51.10%,46.00%,19.20%,26.80%,24.90%,71.10%,28.90%,75.10%,0.376,0.281,0.0204,-0.019,96.00%,104.00%,-0.016,0.01425,0.03765,3.765
88,Drake,51.20%,47.20%,20.50%,22.50%,25.90%,78.10%,21.90%,74.10%,0.31,0.309,0.016,-0.005,104.00%,96.00%,0.016,0.00015,0.03715,3.715
89,Oklahoma,50.30%,48.80%,14.00%,18.40%,21.20%,78.50%,21.50%,78.80%,0.334,0.204,0.006,-0.011,99.70%,100.30%,-0.0012,0.0195,0.0353,3.53
90,Arizona St,48.10%,44.10%,15.60%,23.40%,23.90%,74.20%,25.80%,76.10%,0.332,0.286,0.016,-0.0195,98.10%,101.90%,-0.0076,0.0069,0.0348,3.48
91,NC State,53.40%,49.60%,15.40%,22.20%,29.60%,72.10%,27.90%,70.40%,0.303,0.333,0.0152,-0.017,101.70%,98.30%,0.0068,-0.0045,0.0345,3.45
92,UAB,45.20%,47.30%,22.60%,19.50%,37.30%,74.00%,26.00%,62.70%,0.258,0.222,-0.0084,0.00775,111.30%,88.70%,0.0452,0.0054,0.03445,3.445
93,Sac State,41.70%,41.50%,19.00%,24.00%,27.00%,75.80%,24.20%,73.00%,0.462,0.399,0.0008,-0.0125,102.80%,97.20%,0.0112,0.00945,0.03395,3.395
94,Furman,54.30%,49.50%,16.00%,24.70%,23.40%,75.30%,24.70%,76.60%,0.271,0.287,0.0192,-0.02175,98.70%,101.30%,-0.0052,-0.0024,0.03335,3.335
95,N Illinois,46.40%,46.40%,19.80%,17.20%,29.30%,80.70%,19.30%,70.70%,0.273,0.274,0,0.0065,110.00%,90.00%,0.04,-0.00015,0.03335,3.335
96,Marquette,50.90%,42.40%,21.10%,17.00%,26.60%,74.30%,25.70%,73.40%,0.423,0.385,0.034,0.01025,100.90%,99.10%,0.0036,0.0057,0.03305,3.305
97,LA Tech,52.40%,46.10%,17.80%,21.60%,28.90%,74.10%,25.90%,71.10%,0.269,0.363,0.0252,-0.0095,103.00%,97.00%,0.012,-0.0141,0.0326,3.26
98,App State,46.10%,46.40%,20.10%,22.10%,24.10%,77.50%,22.50%,75.90%,0.419,0.27,-0.0012,-0.005,101.60%,98.40%,0.0064,0.02235,0.03255,3.255
99,W Carolina,53.80%,50.00%,19.60%,18.80%,28.40%,74.40%,25.60%,71.60%,0.408,0.357,0.0152,0.002,102.80%,97.20%,0.0112,0.00765,0.03205,3.205
100,Pittsburgh,45.50%,45.90%,19.80%,22.60%,31.40%,69.00%,31.00%,68.60%,0.379,0.217,-0.0016,-0.007,100.40%,99.60%,0.0016,0.0243,0.0313,3.13
101,Coastal Car,52.60%,50.60%,20.70%,18.10%,32.50%,73.40%,26.60%,67.50%,0.42,0.382,0.008,0.0065,105.90%,94.10%,0.0236,0.0057,0.0308,3.08
102,UNLV,48.90%,50.40%,21.80%,17.30%,33.40%,78.30%,21.70%,66.60%,0.321,0.313,-0.006,0.01125,111.70%,88.30%,0.0468,0.0012,0.03075,3.075
103,Rhode Island,47.30%,47.30%,18.40%,21.00%,30.20%,71.60%,28.40%,69.80%,0.343,0.234,0,-0.0065,101.80%,98.20%,0.0072,0.01635,0.03005,3.005
104,Florida,48.90%,45.90%,18.00%,18.50%,26.50%,76.10%,23.90%,73.50%,0.346,0.306,0.012,-0.00125,102.60%,97.40%,0.0104,0.006,0.02965,2.965
105,Mississippi,49.10%,45.90%,19.60%,21.50%,26.10%,76.80%,23.20%,73.90%,0.378,0.375,0.0128,-0.00475,102.90%,97.10%,0.0116,0.00045,0.0296,2.96
106,N Dakota St,46.80%,49.60%,15.30%,15.80%,21.50%,83.80%,16.20%,78.50%,0.348,0.228,-0.0112,-0.00125,105.30%,94.70%,0.0212,0.018,0.02925,2.925
107,N Iowa,53.40%,47.50%,19.10%,18.90%,26.80%,73.70%,26.30%,73.20%,0.273,0.258,0.0236,0.0005,100.50%,99.50%,0.002,0.00225,0.02735,2.735
108,W Kentucky,54.40%,49.60%,21.10%,18.50%,27.30%,70.30%,29.70%,72.70%,0.396,0.236,0.0192,0.0065,97.60%,102.40%,-0.0096,0.024,0.0271,2.71
